,별점,주문메뉴,리뷰,사진
0,5,['통마늘불고기피자（L）'],생소한 브랜드라 반신반의했는데넘 맛나요짜지않고 적절한 담백함과 달콤함한판 금새 클리어 ㅎㅎ강추해요~^^,['https://rev-static.yogiyo.co.kr/e239089ae16dbf5164a954396b368a9b_tn.jpg']
1,5,"['통마늘불고기피자（L）', '핫소스', '콜라 1.25L']",왘ㅋㅋㅋㅋㄱ 배달음식시키고 이런거 받아보다니 ㅋㅋㅋ 손글씨네요 ㅠㅠ 서비스 잘먹겠습니당..,['https://rev-static.yogiyo.co.kr/492b369cfcf3aa0f543dd91ffc073baf_tn.jpg']
2,5,['베이컨체다치즈피자（L）'],배달도 빨리 왔구요 완전 친절하심옥수수도 주셨네요,[]
3,5,['핫치킨피자（L）'],매우 만족합니다. 적당한 가격에 높은 퀄리티를 모두 만족 하네요,[]
4,5,[],조카가 피자먹고싶다해서 사줬는데 둘이 한판 다 해치웠어요ㅋ 베이컨쉬림프 완전 강추합니다!! 사장님이 직접 배달하신거 같은데 친절하시고 써비스도 잘먹었습니다.,[]
5,5,"['Set7（오리지널피자 R＋오븐스파게티＋훈제치킨＋콜라 1.25L）', '세트 피자 선택(불고기피자)']",양도좋고 맛도좋고 가격도좋고 서비스도좋고여태 시켜먹은곳중에 최고인듯❤️,"['https://rev-static.yogiyo.co.kr/dc59d41e85529ed81a0b89a1e46ce44a_tn.jpg', 'https://rev-static.yogiyo.co.kr/396fe42600e0fb3c56538b9fded2dc55_tn.jpg']"
6,5,"['스위트박스1（오리지널피자 R＋치즈오븐스파게티＋체다웨지감자＋치킨텐더＋핫윙）', '세트 피자 선택(베이컨체다치즈피자)']",두번째 주문인데 역시 맛있네요 별5,[]
7,5,['수제고구마피자（L）'],진심 맛있어요!강추!일단먹어보세요! 후회안합니다ㅎ,[]
8,5,"['Set5（오리지널피자 R＋오븐스파게티＋콜라 500mL）', '세트 피자 선택(베이컨체다치즈피자)']",최고 맛있어요!,"['https://rev-static.yogiyo.co.kr/7296c2a05a1ca40dc2dd74a2b2644056_tn.jpg', 'https://rev-static.yogiyo.co.kr/daa459e046f16095e2717a8a84a94f5a_tn.jpg']"
9,5,['콤비네이션피자（L）'],후기보고 반신반의하며 시켰는데 완전 맛있네요,[]
10,5,[],새 피자집이 떠서 시켜봤는데 서비스에 감동받았습니다ㅠㅜ피자도 천연치즈를 썼는지 쭈욱 늘어나더라구요....0ㅁ0맛있게 잘 먹었습니다(^o^)b,[]
11,5,[],옥수수맛있네요 배달도빠르고^-^굿입니다,[]
12,5,[],배달도 빠르고 맛있었어요~~ 비록 사진은 없지만 서비스 마약옥수수 감사합니다 ㅋㅋ,[]
13,5,['핫치킨 몬스터피자'],핫치킨먹었어요ㅋㅋㅋㅋ몬스터사이즈시켯는데 진짜 커요ㄷㄷㄷ두조각먹었는데 한조각반먹으니까 배 엄청부르더라구요ㅋㅋㅋㅋ맛있게잘먹었습니다^^,['https://rev-static.yogiyo.co.kr/0603bd4e2beec592b1d0a99bca0d7349_tn.jpg']
14,5,[],그냥대박너무너무맜있어요,[]
15,5,"['통마늘불고기피자（R）', '치즈스틱（5조각）', '수제갈릭소스']",첫 주문이었는데....!!!! 완전 백십퍼 만족입니다!!! 앞으로 자주 시켜먹을게요 서비스로 주신 마약옥수수도 맛있었고 수제 갈릭 소스고 맛있었고 피자가 제일 맛있었어요!!! 번창하세요 :),['https://rev-static.yogiyo.co.kr/8fdce8d2d1f6d1983fa34780cf903b32_tn.jpg']
16,5,"['포테이토피자（R）', '핫소스', '콜라 500mL']","맛있어요! 수제 피클, 갈릭 넘넘 마싯!!! 갈릭은 따로 주문해서 먹어야겠어요 ㅎㅎㅎㅎ가격도 저렴, 음식 또한 마싯! 다음에 또 먹을게요!번창하셔요!!",[]
17,5,[],맛도좋고 가격 괜찮고 또 주문할게요 서비스도 감사합니다^^,['https://rev-static.yogiyo.co.kr/77b837f47b45474fee27ff966458df4c_tn.jpg']
18,5,[],존맛. 가성비 갑.,[]
19,4,"['콤비네이션 몬스터피자', '콜라 1.25L']",수제피클과 수제소스가진짜  짱이네요,[]
20,5,"['L 사이즈（3~4인）', '피자 토핑 선택(치즈)']",역시 변함없이 맛있네요!!!,[]
21,5,[],"서비스도 맛도 정말 최고입니다.무엇보다 배달하시는 분들이 너무친절하셔서, 인상깊었습니다. 그때부터 무조건 피자샾에서만 주문하게되네요.번창하세요~",[]
22,5,[],배달하시는분도 너무 친절하고 서비스도 감사해요. 무엇보다 보통 생각한 피자보다 시각적으로 좀 더 다릅니다^^; 작은 디테일이 큰 차이를 만든 느낌. 정말 잘먹었어요. 항상 지금처럼만 같기를 바랍니다. 다음에 또 시킬게요!!,[]
23,5,[],마약 옥수수 굿입니당,[]
24,5,"['L 사이즈（3~4인）', '피자 토핑 선택(포테이토)']",YES맛,[]
25,5,[],맛있고 배달도친절하신데ㅠ식어서왔어요ㅠ망포역 근처대ㅠ,[]
26,5,"['하프앤하프 R（2~3인）', '하프앤하프 토핑 선택(콤비네이', '불고기)', '치즈오븐스파게티', '피클', '콜라 1.25L']",마약옥수수 짱이에요~~~배달도빠르고 굿굿,[]
27,5,[],존맛. 가성비 대박. 마약 옥수수 서비스 계속 해주세요.,[]
28,5,"['L 사이즈（3~4인）', '피자 토핑 선택(베이컨체다치즈)']",여기 배달 자주 시키는데 배달도 빨리오고 맛도 좋아요딴데보다 여기가 괜찮은듯,[]
29,5,"['몬스터 사이즈（6~7인）', '피자 토핑 선택(통마늘불고기)']",정말 서비스 좋습니다!사장님의 배려 진심으로 감사드립니다.대박나시구 자주 애용하도록하겠습니다.직장동료들도 애용한다더군요 ㅋㅋ,[]
30,5,[],잘먹엇어요 여기추천할만행ᆢㄷ,[]
31,5,"['R 사이즈（2~3인）', '피자 토핑 선택(불고기)']",피자도 맛있고 도우 찍어먹으라고 주는 소스도 맛있습니다!!무엇보다 배달해주시는 분이 너무너무 친절하셔서 이렇게 리뷰를 올립니다!!!★진짜 맛있어요,[]
32,5,"['R 사이즈（2~3인）', '피자 토핑 선택(수제고구마)']",위에 베이컨이 특히 맛있어요 마약옥수수 서비스 곧 끝나나요?? ㅠㅠ,"['https://rev-static.yogiyo.co.kr/9cddcefd434ac0b516e1a0fef64d1453_tn.jpg', 'https://rev-static.yogiyo.co.kr/f6a29744f8b5b34686ef771d4b5d5e4f_tn.jpg']"
33,5,"['R 사이즈（2~3인）', '피자 토핑 선택(콤비네이션)', '콜라 1.25L']",단골될듯...굿입니당~!,[]
34,5,"['세트1（피자 L＋사이드＋콜라500mL）', '피자 토핑 선택(수제고구마', '사이드 선택(치즈오븐스파게티)', '갈릭디핑소스']",맛있어요^^ 피자는 알땡땡만큼 갠찮았구 소문대로 갈릭디핑소스 짱이네요 ㅎ 오븐스파게티는 치즈가 굳어서 약간 별로였지만 전체적으로 가격대비 우왕 굳이예요~ 단골될꺼 같아요 ㅋㅋ서비스로 주신 마약옥수수 정식 사이드메뉴 해주심 안돼요? 아들이 넘 잘먹어서요 ^_^,['https://rev-static.yogiyo.co.kr/88f4d95273cab0fe331096c18f7930bf_tn.jpg']
35,5,"['R 사이즈（2~3인）', '피자 토핑 선택(포테이토)']",매우 맛있고 매우 친절함~ 피자중 최고 인듯 ~ 배달인데도 완전 따끈따끈 ~,[]
36,5,"['세트1（피자 L＋사이드＋콜라500mL）', '피자 토핑 선택(수제고구마', '사이드 선택(치즈오븐스파게티', '콜라 사이즈 변경(콜라 1.25L로 변경)']",마약옥수수도 그렇고피자도 맛있네요!!사장님 너무 착하세요!,['https://rev-static.yogiyo.co.kr/ea8d42bb459a99c1868ec2f7ebf9b4eb_tn.jpg']
37,5,"['L 사이즈（3~4인）', '피자 토핑 선택(통마늘불고기)']",변함없이 맛있네요!!,[]
38,5,"['세트5（피자 R＋사이드＋콜라500mL）', '피자 토핑 선택(베이컨체다치즈', '사이드 선택(치즈오븐스파게티)', '갈릭디핑소스']",처음켜봤는데 정말맛있어요! 배달도 따뜻을 넘어서 뜨끈뜨끈한상태로 ㅎ  서비스 마약옥수수도 정말 맛있었습니다 자주시켜먹을거같아요 !,"['https://rev-static.yogiyo.co.kr/a9e4d46a461c8f106434c8ee4f1b4871_tn.jpg', 'https://rev-static.yogiyo.co.kr/4d46eba4cd2919ac1d88de0e3a4583da_tn.jpg', 'https://rev-static.yogiyo.co.kr/4985289ea00f9c1420c44a3898f3eafc_tn.jpg']"
39,5,"['L 사이즈（3~4인）', '피자 토핑 선택(치즈)']",굿굿굿,"['https://rev-static.yogiyo.co.kr/51185a7d82bfba9f2810398123265cae_tn.jpg', 'https://rev-static.yogiyo.co.kr/3166efa201be050846f18b00d955e32f_tn.jpg']"
40,4,[],사장님이 손으로 직접 메모를 써서 배달받아보긴 처음인거같아여 ^^ 소소한 기쁨이 배가 되네여! 맛있어요,['https://rev-static.yogiyo.co.kr/d9744f26ded7d6e4de4c6282d24ef67f_tn.jpg']
41,5,[],여기 괜찮네요,[]
42,5,"['L 사이즈（3~4인）', '피자 토핑 선택(핫치킨&쉬림프)']",평가가 좋아서 시켜봤어요. 독특하면서 자극적이지 않아서 아이들과 같이 먹어도 넘넘 좋아요. 배달도 빨리 오구 친절하고 크기도 커요^^ 또 시켜먹을 의사 200%입니다.,"['https://rev-static.yogiyo.co.kr/ea367ae02782f6e0ddd2bbc748a54641_tn.jpg', 'https://rev-static.yogiyo.co.kr/bbec44cd9a3b69aed2825ff5e46abf37_tn.jpg']"
43,5,"['오리지널 피자 L＋오리지널 피자 L', '피자 도우 선택1(치즈크러스트', '피자 선택2(불고기', '피자 도우 선택2(치즈크러스트)', '콜라 1.25L']",별점보고 시켰는데 맛있었다 짱짱 지금의 맛 그대로 가길,[]
44,5,"['세트2（피자 L＋사이드1＋사이드2＋콜라1.25L）', '피자 토핑 선택(베이컨쉬림프', '사이드 선택1(치킨스파게티', '사이드 선택2(치킨텐더（4조각）)']",알보로만 시켜먹다 먹었는데... 배달피자인데 치즈가 막 늘어나고 흘러내리고ㅎㅎ 완전맛있었어요 치킨텐더도 기대안했는데맛있었고 메뉴 전체적으로 괜찮고 서비스로온 마약옥수수도 맛있었네요,[]
45,5,[],피클 물 없고 오이만 플라스틱 용기에 담아줘서 감동함,[]
46,4,"['세트5（피자 R＋사이드＋콜라500mL）', '피자 토핑 선택(스파이시도이치', '사이드 선택(버팔로윙（5조각）)']",가격대비괜춘했으욤ㅋ,[]
47,5,[],너무 맛있는 피자 집 가격도 저렴하고 최고입니다세트시켜먹었는데 아주맛있네요,[]
48,3,"['세트2（피자 L＋사이드1＋사이드2＋콜라1.25L）', '피자 토핑 선택(핫치킨&쉬림프', '사이드 선택1(치즈오븐스파게티', '사이드 선택2(치킨텐더（4조각）)']","피자는 그냥그렇고,스파게티는 진짜너무하네요 맛은보고보내주나요소스는 싱겁고적게넣어서 뻑뻑하고 치즈는다굳어서 쓴맛나요이중에 맛있는건 갈릭소스밖에없네요리뷰보고시켰는데 별로예요",[]
49,5,"['오리지널 피자 L＋오리지널 피자 L', '피자 도우 선택1(오리지널 도우', '피자 선택2(베이컨체다치즈', '피자 도우 선택2(오리지널 도우)', '콜라 1.25L']",저번에 맛있어서 시켜 먹었었는데 여전히 맛있었다 특히 피클이 물이 없이 와서 좋았다 굿굿,[]
50,5,"['세트6（피자 R＋사이드1＋사이드2＋콜라1.25L）', '피자 토핑 선택(페파로니', '사이드 선택1(치즈오븐스파게티', '사이드 선택2(버팔로윙（5조각）)']",버팔로윙은 진짜 맛있었어요피자나 스파게티도 재료가 좋고 따뜻하게 와서 잘 먹었습니다앞으로 여기서 먹어야할 듯,[]
51,5,"['오리지널 피자 L＋오리지널 피자 L', '피자 도우 선택1(오리지널 도우', '피자 선택2(베이컨체다치즈', '피자 도우 선택2(오리지널 도우)']",역시나 맛있음 굿굿,[]
52,5,"['오리지널 피자 L＋오리지널 피자 L', '피자 도우 선택1(오리지널 도우', '피자 선택2(불고기', '피자 도우 선택2(오리지널 도우)']",처음 시켜먹엇는데 너무 맛잇어요 !! 불고기짱짱,[]
53,4,"['L 사이즈（3~4인）', '피자 토핑 선택(핫치킨)', '콜라 1.25L']",수제피클과 갈릭소스가 진짜 맛있더라구용식어서 먹었는데도 완전 꿀맛!,['https://rev-static.yogiyo.co.kr/f33601bc04078df6cb913fd03ec9217c_tn.jpg']
54,5,"['세트5（피자 R＋사이드＋콜라500mL）', '피자 토핑 선택(불고기', '사이드 선택(치즈오븐스파게티', '콜라 사이즈 변경(콜라 1.25L로 변경)']",세번째 주문이에요. 불고기피자랑 스파게티 너무 맛있어요!갈릭소스랑 피클도 맛있어요~ 맛있어서 금방 떨어져서 아쉬움😂 강추입니당~~,"['https://rev-static.yogiyo.co.kr/efbf27a4a180d391ba60a7e8422e4830_tn.jpg', 'https://rev-static.yogiyo.co.kr/91800e3cb633f64b320c07837719d311_tn.jpg']"
55,4,"['오리지널 피자 L＋오리지널 피자 L', '피자 도우 선택1(치즈크러스트', '피자 선택2(더블바베큐', '피자 도우 선택2(치즈크러스트)']",매번 만점주다가 돈 더 내서 바베큐를 시켰는데 별로였다 치즈크러스트는 좋았지만,[]
56,5,[],ㅋㅋㅋㅋ맛져여,[]
57,5,"['세트1（피자 L＋사이드＋콜라500mL）', '피자 토핑 선택(포테이토', '사이드 선택(치킨스파게티', '콜라 사이즈 변경(콜라 1.25L로 변경)']",피자에서 고급진 맛이 나요. 이거슨 마치 피자가 아니라 포스타레스토랑5코스요리를 동그랗게 빗어 구은맛! 포테이토가 부끄러울까봐 에 베이컨 이불 덮어주셧네요. 센스짜앙.,[]
58,5,[],친절하시구 맛있게 잘먹습니다! 또 시켜먹을거 같습니다,[]
59,5,[],항상 맛,[]
60,4,[],세번째인데 이번엔 먼가 냄새가..,[]
61,5,"['L 사이즈（3~4인）', '피자 토핑 선택(수제고구마)']",수제고구마 골드피자 진짜맛있어요수제갈릭 소스도bb,[]
62,5,[],정말 맛있고 친절하시네요~^^잘먹었습니다~다음에도 잘 부탁해요~^^,[]
63,5,[],그 스파이시도이치 맛남,[]
64,5,[],넘 맛있어요^^,[]
65,4,"['세트1（피자 L＋사이드＋콜라500mL）', '피자 토핑 선택(베이컨체다치즈', '사이드 선택(치즈오븐스파게티)']",리치골드는 쏘쏘 ㅜㅜ,[]
66,5,"['L 사이즈（3~4인）', '피자 토핑 선택(핫치킨&쉬림프)']",정말 맛있게 또 먹었습시다~ 자주 먹을게요!,[]
67,5,[],맛있는 피자를 싼값에 먹었어요 배달의민족 사용했었는데 요기요가 생각보다 편리하고 할인도 많이해주네요  음식주문도 자주 이용할께요~~3번째 배달인데 항상 만족입니다,[]
68,5,[],맛나밍 수제고구마,[]
69,4,"['세트6（피자 R＋사이드1＋사이드2＋콜라1.25L）', '피자 토핑 선택(콤비네이션', '사이드 선택1(치즈오븐스파게티', '사이드 선택2(치즈오븐스파게티)']","배달도 빠르고, 배달원분도 정말 친절하세요~ 갈릭디핑소스 완전 맛나고!! 저렴하게 피자 맛나게 먹음요!!",[]
70,5,"['R 사이즈（2~3인）', '피자 토핑 선택(불고기)', '콜라 1.25L']",맛있어요~!!,[]
71,5,[],치즈도 많고 맛도 맛있었습니다!!,[]
72,5,"['R 사이즈（2~3인）', '피자 토핑 선택(콤비네이션)', '피클', '치즈가루', '콜라 1.25L']",사장님 느므~ 친절하시네요^-^피자도맛있고~~ 굿굿,[]
73,5,"['하프앤하프 L（3~4인）', '하프앤하프 토핑 선택(수제고구', '핫치킨)', '콜라 500mL']",두번째 주문인데정말 정말 맛있어요!!!!!!!!!또 시켜먹어야딩,['https://rev-static.yogiyo.co.kr/f4d125660829d762112cce9dd81b0ba3_tn.jpg']
74,4,"['세트5（피자 R＋사이드＋콜라500mL）', '피자 토핑 선택(통마늘불고기', '사이드 선택(치즈오븐스파게티)', '갈릭디핑소스']",오랜만에 주문했어요. 아들램 좋아하는 스파게티는 여전히 2프로 부족한 쏘쏘... 야침차게 소보로엣지 시켜봤는데 다른곳엔 없으니까 한 번 먹어볼만합니다~ 통마늘불고기 토핑 갠찮았어요~ 배달도 비교적 빨리 오시고요,['https://rev-static.yogiyo.co.kr/7a0704f11a65b0d228849cb84204bd80_tn.jpg']
75,5,[],맛있어요!,[]
76,5,"['세트5（피자 R＋사이드＋콜라500mL）', '피자 토핑 선택(불고기', '사이드 선택(버팔로윙（5조각）)']",느끼하지 않고 맛있어요또 시켜먹어야지.,[]
77,5,"['R 사이즈（2~3인）', '피자 토핑 선택(불고기)']",다른곳 이제 주문안하려구요 딴곳도 시켜먹다 다시 피자샵주문했더니 역쉬..넘맛있고 갈릭소스도맛나고..가격도 착하구! 치즈가 쭉쭉늘어나요!ㅎ,[]
78,4,"['L 사이즈（3~4인）', '피자 토핑 선택(베이컨체다치즈)']",피자맛은 언제나처럼 훌륭한데 사과나무 등 배달책자를 하나도 안주셨네요 이제 배달책자는 취급하지 않으시나요?,[]
79,5,[],언제 먹어도 맛있어요^^,[]
80,5,"['하프앤하프 L（3~4인）', '하프앤하프 토핑 선택(불고', '하와이언)']",평점보고 주문했는데 정말 맛있네욥,[]
81,5,"['오리지널 피자 L＋오리지널 피자 L', '피자 도우 선택1(오리지널 도우', '피자 선택2(불고기', '피자 도우 선택2(오리지널 도우)', '콜라 500mL']",변하지 않는맛 장사잘되세욤,[]
82,5,"['L 사이즈（3~4인）', '피자 토핑 선택(핫치킨&쉬림프)']",요기요쓰면서 첨으로 리뷰씁니다진짜진짜 괜찮은것같아요피자도 맛있고 피클은 저는 다른데서 오는 팩 포장된거 안먹고 버리는데여기껀 맛있네요,[]
83,5,"['R 사이즈（2~3인）', '피자 토핑 선택(하와이언)', '콜라 500mL']",맛있었어요~♡ 👍👍,[]
84,5,"['하프앤하프 R（2~3인）', '하프앤하프 토핑 선택(핫치', '통마늘불고기)']",맛있는집❤❤,[]
85,5,"['세트5（피자 R＋사이드＋콜라500mL）', '피자 토핑 선택(베이컨체다치즈', '사이드 선택(치즈오븐스파게티)']",만족스러웠습니다! 배달원도 친절하시구 ㅋㅋ 피클도 쪼글쪼글한 시제피클 아니고 진짜 아삭한 오이피클로 와서 좋았어요 담에 또 주문할긋,[]
86,5,"['R 사이즈（2~3인）', '피자 토핑 선택(베이컨체다치즈)']",배달도 빠르고 저렴하고 맛도있고 피자는 여기서만 주문해요~,[]
87,5,"['L 사이즈（3~4인）', '피자 토핑 선택(수제고구마)']",리뷰가너무 좋아서 시켜보았는데 흑 리뷰 남기기 귀찮은데리뷰를 안남길수가 업쟈나소스랑 피클이 너무 짱인것같아요!! 너무맛있구 피자도 재료도 팍팍이시고 피자 정말 맛있어용배달원분도 친절하시고 넘 맛좋고 착한피자집 같아여!,['https://rev-static.yogiyo.co.kr/8697c1f35467db1a1922bb353c99be59_tn.jpg']
88,5,"['세트5（피자 R＋사이드＋콜라500mL）', '피자 토핑 선택(불고기', '사이드 선택(치즈오븐스파게티)']",가성비 진짜 좋아요특히 피자는 인정~~,[]
89,3,"['R 사이즈（2~3인）', '피자 토핑 선택(콤비네이션)', '치즈오븐스파게티', '콜라 500mL']",콤비네이션인데 부실해요..구냥 치즈만 먹는 느낌 ㅠㅠ 스파게티는 맛있네요 수제피클도 괜찮구요담부턴 피자 토핑에 신경을 써주셨음ㅠㅠ,[]
90,5,[],5번째 주문입니다.베이컨 쉬림프 맛있어요ㅋㅋㅋ세트로 시키는게 훨씬 좋네요! 윙도 진짜맛있어요 최고에요 피자샵 ㅠㅠㅠ,[]
91,5,"['세트2（피자 L＋사이드1＋사이드2＋콜라1.25L）', '피자 토핑 선택(핫치킨&쉬림프', '사이드 선택1(치즈오븐스파게티', '사이드 선택2(치즈스틱（5조각）)', '갈릭디핑소스']",너무맛나고 양많고 친절하샸어요 최고,[]
92,5,[],맛잏어요,[]
93,5,[],피자샾처음먹어봣는데 먹을만하네요 토핑도많이있는편이구요 애용하겠습니다,[]
94,5,"['하프앤하프 R（2~3인）', '하프앤하프 토핑 선택(핫치', '통마늘불고기)', '버팔로윙 （5조각）']",존맛,[]
95,5,[],맛있어요!!!,[]
96,5,"['세트1（피자 L＋사이드＋콜라500mL）', '피자 토핑 선택(통마늘불고기', '사이드 선택(치즈오븐스파게티', '콜라 사이즈 변경(콜라 1.25L로 변경)']",지금껏 먹어본 피자중에 최고인듯^^드뎌 맘에드는 곳을 발견하게돼어 기뻐용ㅋ,[]
97,5,"['R 사이즈（2~3인）', '피자 토핑 선택(통마늘불고기)']",가성비좋아요너무맛있어요ㅎ,[]
98,4,[],맛있네요,[]
99,5,"['세트1（피자 L＋사이드＋콜라500mL）', '피자 토핑 선택(수제고구마', '사이드 선택(버팔로윙（5조각）)']",고구마가 너무 달지도 않고 적당히 달달하고 담백해서 좋았어요!! 피클도 다른곳보다 양이 많아서  좋았습니다! 핫윙도 부드럽고... 다 맛있네용ㅠㅠ 짱좋아요~~~!!,"['https://rev-static.yogiyo.co.kr/3bc17be3e4981871206321560a039b5f_tn.jpg', 'https://rev-static.yogiyo.co.kr/a37c4a1ae424eae7db96a8a294d9c88a_tn.jpg']"
100,5,"['L 사이즈（3~4인）', '피자 토핑 선택(베이컨체다치즈)']",항상 좋아요,[]
101,5,"['세트2（피자 L＋사이드1＋사이드2＋콜라1.25L）', '피자 토핑 선택(베이컨쉬림프', '사이드 선택1(치즈오븐스파게티', '사이드 선택2(버팔로윙（5조각）)']",가성비 최고네요 진짜 맛있었어요,[]
102,5,[],좀 오래 기다려는데 피자가 너무 맛있고 배달도 너무 친절해서  괜찮습니다.맛있어용~,[]
103,4,"['세트1（피자 L＋사이드＋콜라500mL）', '피자 토핑 선택(수제고구마', '사이드 선택(치즈오븐스파게티)']",완전 맛있어요👍 수제 갈릭소스가 신의 한수!스파게티도 사이드 메뉴라서 크게 기대 안했는데치즈도 듬뿍 들어있고 감동이에요ㅠㅠ다음에 또 시킬께요♡,[]
104,5,[],맛있어요 정말,[]
105,5,[],치즈 좋은거쓰는거같아요 치즈듬뿍 맛있고 양이많아요^^,[]
106,5,[],피자 진짜 맛있어요ㅎㅎㅎㅎㅎㅎㅎ고구마무스대박!!!!!!,[]
107,1,"['L 사이즈（3~4인）', '피자 토핑 선택(포테이토)']",포테이토 피자 시켜먹었는데 감자를 도우바로위에 올리고 토핑을뿌려서 피자소스라던지 기타 치즈토핑이 감자주변으로 뿌려져 너무 안들어간거같은데 피자를 먹는게 아니라 감자전을 먹는줄알았음 저는 피자집에서 일도 해봤는데 말이죠,[]
108,5,"['오리지널 피자 L＋오리지널 피자 L', '피자 도우 선택1(오리지널 도우', '피자 선택2(포테이토', '피자 도우 선택2(오리지널 도우)']",이런 가격에 이 맛이먼 굿굿,[]
109,4,"['몬스터 사이즈（6~7인）', '피자 토핑 선택(베이컨체다치즈)', '콜라 1.25L']",맛은무난하게 괜찮은 가격으로 피자먹기좋음,[]
110,4,"['L 사이즈（3~4인）', '피자 토핑 선택(콤비네이션)', '콜라 1.25L']",맛은 무난한 편. 가성비로는 좋은편.,[]
111,5,[],평점이 좋아서 시켰는데 먹어보고 왜 평점이 좋은지 알겠네요 다음에 또 시킬의향있습니다~!,[]
112,5,[],굿,[]
113,5,"['R 사이즈（2~3인）', '피자 토핑 선택(포테이토)']",반신반의했는데 저렴하고 맛있어요 ^^,[]
114,5,"['R 사이즈（2~3인）', '피자 토핑 선택(불고기)']",맛있었어요bb불고기를 조금 더 주셨음 좋겠어요,[]
115,5,"['R 사이즈（2~3인）', '피자 토핑 선택(수제고구마)']",좀 괜찮아요. 맛잇어용.,['https://rev-static.yogiyo.co.kr/5a7e3ee309a9232d49cdd81f6123c006_tn.jpg']
116,4,"['L 사이즈（3~4인）', '피자 토핑 선택(베이컨체다치즈)', '콜라 1.25L']",가격대비 좋아요 ㅋ,[]
117,5,"['L 사이즈（3~4인）', '피자 토핑 선택(핫치킨&쉬림프)']",항상 먹을때 마다 피자 양념? 이라고 해야되나 잘만드는거 같아요,[]
118,4,"['R 사이즈（2~3인）', '피자 토핑 선택(핫치킨&쉬림프)', '갈릭디핑소스', '콜라 500mL']",건강한피자가 맛도 있어서 좋네용!,[]
119,5,"['R 사이즈（2~3인）', '피자 토핑 선택(핫치킨&쉬림프)']",맛있게 잘 먹었습니다~ 소스랑 피클도 맛있어요~ 다만 콜라가 없어서 아쉽네요ㅠ 콜라도 따로 시켜야겠어요,['https://rev-static.yogiyo.co.kr/57f97169b51d5211234621a321b76bcc_tn.jpg']
120,5,"['L 사이즈（3~4인）', '피자 토핑 선택(포테이토)', '콜라 1.25L']",서비스는 정말 좋음. 배달하시는 분이 친절해서 적어도 첨부터 기분 나쁘게 피자 먹을 일은 없어보임. 맛은 먹을만 함. 돈이 아까운 느낌은 들지 않음.,[]
121,5,"['R 사이즈（2~3인）', '피자 토핑 선택(포테이토)']",문닫앗을때 빼곤 항상 여기시켜요 맛나요~~~,[]
122,5,"['몬스터 사이즈（6~7인）', '피자 토핑 선택(불고기)']","배달빠르고,진짜 맛있네요.단골될거 같아요~^^",['https://rev-static.yogiyo.co.kr/b729e7be7ff09bb5ef2a9c4030f0b64a_tn.jpg']
123,4,[],맛있게잘먹었어요,[]
124,5,"['오리지널 피자 L＋오리지널 피자 L', '피자 도우 선택1(오리지널 도우', '피자 선택2(콤비네이션', '피자 도우 선택2(오리지널 도우)', '콜라 1.25L']",항상 굿인데 가끔 그냥 그 수제소스말구 그냥 다른 피자집에서 주는 갈릭소스도 선택할 수 있었으면 좋겠다 10번은 시켰는데 가끔은 다른 느낌도 느껴보고 싶음,[]
125,5,"['하프앤하프 R（2~3인）', '하프앤하프 토핑 선택(콤비네이', '통마늘불고기)']",다맛있는데 통마늘불고기 피자에 그냥 불고기만 온거같아요ㅠㅜ마늘하나도없었어요ㅠㅜ,[]
126,5,"['R 사이즈（2~3인）', '피자 토핑 선택(핫치킨&쉬림프)', '사이다 1.25L']",맛있습니다! 특히 같이 주신 소스가 맛있어요,['https://rev-static.yogiyo.co.kr/fb7d8d7f5ca0eb112c7ed0cd1f961b66_tn.jpg']
127,4,"['세트1（피자 L＋사이드＋콜라500mL）', '피자 토핑 선택(불고기', '사이드 선택(고구마스파게티', '콜라 사이즈 변경(콜라 1.25L로 변경)']",피자보다 소스가 맛있네요 스파게티는 걍 그래요,[]
128,3,[],맛있어요,[]
129,4,"['L 사이즈（3~4인）', '피자 토핑 선택(콤비네이션)']",오늘은 토마토소스가 좀 적게 발렸는지 맛이 약했어요 ㅠㅠ그거 빼고는 괜찮았습니다!! 굿!,[]
130,5,"['R 사이즈（2~3인）', '피자 토핑 선택(베이컨쉬림프)']",정말맛있어요,[]
131,5,"['하프앤하프 R（2~3인）', '하프앤하프 토핑 선택(콤비네이', '불고기)', '콜라 500mL']",항상 맛있게 잘먹었습니다,[]
132,4,[],맛있는 피자네요 ^^ 너무 잘먹었답미다.,[]
133,2,[],조금 맵고 자극적이지만 맛잇긴 하네요~ 배달올때 피자가 옆으로 쏠려서 와서 한조각 없는 줄 알고 당황했습니다,[]
134,5,[],자주 시켜먹는데 피자도 맛있고 수제갈릭소스가 정말맛있어요! 추천합니다.,[]
135,5,"['L 사이즈（3~4인）', '피자 토핑 선택(치킨바베큐)']",최고에요!,[]
136,5,"['세트5（피자 R＋사이드＋콜라500mL）', '피자 토핑 선택(베이컨체다치즈', '사이드 선택(버팔로윙（5조각）)']",늘시켜먹는데 맛있어요. 소스가 맛있어요,[]
137,5,[],싸고 맛있어요~^^ 이제 마약옥수수가 안와서 아쉽긴해여~ㅎ 다시 이벤트하면 좋겠어요~ㅋㅋ,[]
